orbit_class_type,is_potentially_hazardous_asteroid,Minimo,Maximo,Media,Mediana,Moda,Desviacion estandar,Varianza,Asimetria,kurtosis
AMO,False,0.0098637028,18.1150684236,0.44766944482630744,0.2060819612,0.0859092601,0.7081495266141024,0.5014757520437773,6.385616247250458,87.01326228920819
AMO,True,0.2249261651,9.2478330051,0.8709545619677966,0.5371040154,[0.25944182 0.34201092],1.1229578104068463,1.2610342439537388,4.8328692573834084,29.83806360441238
APO,False,0.00136157,11.6960705369,0.27600074428038446,0.079806815,0.0494356193,0.5749057471568436,0.3305166181139686,6.161486483143972,62.12011758558276
APO,True,0.1968067451,8.8723768253,0.7503488882012264,0.5140923366500001,[0.27166893 0.2844723 ],0.7588402280705611,0.5758384917381811,4.142527223389571,25.613200139267505
ATE,False,0.0022596438,7.6214916608,0.19293590613877676,0.0714562102,0.0783501764,0.45103478531801333,0.20343237756686636,8.29604237542373,100.18515423816002
ATE,True,0.2157943048,3.5978245324,0.6202149814948571,0.4508582062,0.3420109247,0.5345478343587688,0.28574138721764974,3.1070825168776497,11.254232736593533
IEO,False,0.0594346868,3.4676877062,1.49035807893125,1.185953609,"[0.05943469 0.49435619 0.56759685 0.63101543 0.65168838 0.94632427
 0.98637028 1.07161795 1.30028927 1.73796081 1.80318372 1.88816516
 2.07033192 2.9925401  3.17716653 3.46768771]",1.025014651387248,1.0506550355585214,0.7022853380168541,-0.4818862362166305
IEO,True,0.3266178974,1.1750057146,0.69349280935,0.5310473265,[0.3266179  0.46993737 0.52004387 0.54205079 1.12730122 1.17500571],0.362667307090692,0.1315275756324143,0.7800816195284761,-1.7497544493671935
