orbit_class_type,Minimo,Maximo,Media,Mediana,Moda,Desviacion estandar,Varianza,Asimetria,kurtosis
AMO,12.58,28.9,22.116988892628747,22.21,24.2,2.561702095898487,6.562317628130701,-0.2040205236703398,-0.5936312413034548
APO,13.53,33.2,23.369733061409473,23.7,25.4,3.089471634357777,9.544834979501314,-0.21396187319173365,-0.6657588244257644
ATE,14.46,32.1,23.929078453038674,24.4,24.4,2.7453285606549622,7.5368289059478455,-0.3964351998584952,-0.23107642827735697
IEO,16.17,25.0,19.025909090909092,18.81,"[16.17 16.36 16.49 17.29 17.49 17.59 17.67 18.3  18.52 18.61 18.72 18.9
 18.99 19.8  19.87 20.1  20.2  20.29 20.4  20.51 21.3  25.  ]",1.981186895563242,3.925101515151516,1.1000424687612036,2.678088257344677
