orbit_class_type,is_potentially_hazardous_asteroid,Minimo,Maximo,Media,Mediana,Moda,Desviacion estandar,Varianza,Asimetria,kurtosis
AMO,False,12.58,28.9,22.14623445139284,22.3,24.2,2.559529956140256,6.55119359637934,-0.216406518411773,-0.5939873013814281
AMO,True,14.04,22.11,19.93720338983051,20.22,[21.2 21.8],1.6118762680733743,2.5981451035781484,-1.0384328367728928,1.177896135069028
APO,False,13.53,33.2,23.885388204456092,24.36,25.4,2.9580909156835844,8.750301865449748,-0.45282719149897854,-0.2790491844844416
APO,True,14.13,22.4,20.080060200668896,20.314999999999998,[21.6 21.7],1.4477840342643542,2.0960786098707684,-0.9054017686576089,0.5907758696744065
ATE,False,14.46,32.1,24.310809174311927,24.6,24.4,2.5814974050306803,6.664128852180137,-0.5717829870376248,0.34120540585057757
ATE,True,16.09,22.2,20.362622857142856,20.6,21.2,1.2702531404621102,1.6135430408538538,-1.0988287117407456,1.0990502886035087
IEO,False,16.17,25.0,18.69625,18.509999999999998,"[16.17 16.36 16.49 17.29 17.49 17.59 17.67 18.3  18.72 18.9  18.99 19.8
 19.87 20.1  20.4  25.  ]",2.158841896326207,4.660598333333334,1.6247159029473779,4.078097902081281
IEO,True,18.52,21.3,19.905,20.244999999999997,[18.52 18.61 20.2  20.29 20.51 21.3 ],1.1083817032051726,1.2285099999999995,-0.39869041824473994,-1.406643394016407
